file_name,conditioon
data/s-tui_log_2026-03-18_12_06_24.csv, no heat sink and exposed in air
data/s-tui_log_2026-03-18_12_23_39.csv, no heat sink and fixed in model
data/s-tui_log_2026-03-18_12_32_54.csv, stock heat sink with fan on and exposed in air
data/s-tui_log_2026-03-18_13_20_30.csv, stock heat sink with fan off and exposed in air
data/s-tui_log_2026-03-23_03_33_44.csv, copper heat sink #1 10.5g with fan off and exposed in air
data/s-tui_log_2026-03-23_04_00_40.csv, aluminium heat sink #1 2.4g with fan off and exposed in air
data/s-tui_log_2026-03-23_04_09_27.csv, aluminium heat sink #2 6.9g with fan off and exposed in air
data/s-tui_log_2026-03-26_03_59_50.csv, aluminium heat sink #2 with custom fan #1 and exposed in air
data/s-tui_log_2026-03-26_04_16_01.csv, aluminium heat sink #2 with custom fan #2 and exposed in air
data/s-tui_log_2026-03-26_06_21_39.csv, aluminium heat sink #2 with custom fan #3 and exposed in air
data/s-tui_log_2026-03-26_06_35_59.csv, aluminium heat sink #1 with custom fan #3 and exposed in air
data/s-tui_log_2026-03-26_06_49_24.csv, aluminium heat sink #1 with custom fan #1 and exposed in air
data/s-tui_log_2026-03-26_07_47_50.csv, aluminium heat sink #1 with custom fan #2 and exposed in air