Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-23_04:00:41,49.9,49.9,49.9,49.0,49.9,49.9,49.9,1608.0,1800.0,816.0,2208.0,14.5,0.0,0.0,0.0,0.0,50.0,0.0,44.4,0.0
2026-03-23_04:00:41,49.0,49.0,49.0,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,3.4,11.1,0.0,0.0,0.0,15.4,0.0,0.0,1.9
2026-03-23_04:00:42,49.0,49.0,49.0,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.6,9.8,0.0,1.9,0.0,17.0,1.9,0.0,3.8
2026-03-23_04:00:42,49.0,49.0,48.1,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,3.6,10.0,0.0,0.0,1.9,15.4,0.0,0.0,3.8
2026-03-23_04:00:43,49.0,49.0,48.1,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.8,5.9,0.0,1.9,0.0,25.0,0.0,1.9,5.7
2026-03-23_04:00:43,48.1,48.1,48.1,48.1,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.5,3.8,1.9,1.9,1.9,15.7,5.7,0.0,5.8
2026-03-23_04:00:44,49.0,49.0,49.0,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.3,3.8,1.9,0.0,0.0,17.3,3.8,3.7,7.5
2026-03-23_04:00:44,48.1,49.0,48.1,48.1,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.1,3.8,0.0,0.0,0.0,17.3,1.9,0.0,5.9
2026-03-23_04:00:45,48.1,49.0,49.0,48.1,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.8,1.9,0.0,3.7,0.0,21.2,5.8,0.0,9.4
2026-03-23_04:00:45,48.1,49.0,48.1,48.1,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.3,0.0,1.9,0.0,0.0,19.2,5.8,0.0,7.7
2026-03-23_04:00:46,49.0,48.1,48.1,48.1,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.8,1.9,0.0,0.0,0.0,19.2,7.5,0.0,5.9
2026-03-23_04:00:46,49.0,49.0,49.0,49.0,49.0,49.0,49.0,408.0,408.0,408.0,408.0,4.6,0.0,1.9,0.0,0.0,18.9,3.8,1.9,7.7
2026-03-23_04:00:47,49.0,49.9,49.9,49.0,49.9,49.0,49.9,672.0,1200.0,408.0,408.0,6.2,1.9,1.9,1.9,0.0,25.0,0.0,9.3,15.4
2026-03-23_04:00:47,49.9,49.9,49.9,49.0,49.9,49.9,49.9,1016.0,1416.0,816.0,816.0,9.9,9.4,5.7,5.7,3.8,24.5,3.8,9.4,12.7
2026-03-23_04:00:48,62.8,62.8,56.4,54.5,61.0,56.4,60.1,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:48,64.7,65.6,57.3,56.4,62.8,59.2,61.9,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:49,66.5,66.5,58.2,57.3,64.7,60.1,63.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:49,67.5,68.4,60.1,58.2,65.6,61.0,64.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:50,68.4,69.3,61.0,59.2,66.5,62.8,65.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:50,69.3,69.3,61.9,60.1,67.5,62.8,66.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:51,70.2,70.2,61.9,61.0,68.4,63.8,67.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:51,71.2,71.2,62.8,61.0,68.4,63.8,67.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:52,71.2,71.2,62.8,61.9,69.3,64.7,67.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:52,72.1,72.1,63.8,61.9,69.3,65.6,68.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:53,72.1,73.0,63.8,62.8,70.2,65.6,69.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:53,73.0,73.0,64.7,62.8,70.2,66.5,69.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:54,73.0,73.0,64.7,63.8,70.2,66.5,70.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:54,73.0,73.9,65.6,63.8,71.2,67.5,70.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:55,73.9,73.9,65.6,64.7,71.2,67.5,70.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:55,73.9,74.8,65.6,64.7,71.2,67.5,71.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:56,74.8,74.8,66.5,64.7,72.1,67.5,71.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:56,74.8,74.8,66.5,64.7,72.1,68.4,71.2,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:57,75.8,75.8,66.5,65.6,73.0,68.4,72.1,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:57,75.8,75.8,67.5,65.6,73.0,69.3,72.1,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:58,75.8,75.8,67.5,65.6,73.0,68.4,72.1,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:58,75.8,76.7,67.5,65.6,73.9,69.3,72.1,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:59,75.8,76.7,67.5,66.5,73.9,69.3,73.0,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:00:59,76.7,76.7,67.5,66.5,73.9,69.3,73.0,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:00,76.7,76.7,68.4,66.5,73.9,69.3,73.0,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:01,76.7,77.6,68.4,67.5,74.8,70.2,73.0,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:01,77.6,77.6,68.4,67.5,74.8,70.2,73.9,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:02,77.6,77.6,68.4,67.5,74.8,70.2,73.9,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:02,77.6,77.6,69.3,68.4,74.8,71.2,73.9,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:03,77.6,77.6,69.3,67.5,75.8,71.2,73.9,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:03,77.6,77.6,69.3,68.4,75.8,71.2,74.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:04,78.5,78.5,69.3,68.4,75.8,71.2,74.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:04,78.5,78.5,69.3,68.4,75.8,71.2,74.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:05,78.5,78.5,69.3,68.4,76.7,71.2,74.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:05,79.5,79.5,70.2,69.3,76.7,72.1,75.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:06,79.5,79.5,70.2,69.3,76.7,72.1,75.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:06,79.5,79.5,70.2,69.3,76.7,72.1,75.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:07,79.5,80.4,70.2,69.3,76.7,72.1,75.8,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:07,80.4,80.4,71.2,69.3,77.6,73.0,76.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:08,80.4,80.4,71.2,69.3,77.6,73.0,76.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:08,80.4,80.4,71.2,70.2,77.6,73.0,76.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:09,80.4,80.4,71.2,70.2,77.6,73.0,76.7,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:09,80.4,80.4,71.2,70.2,77.6,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:10,80.4,81.3,71.2,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:10,81.3,81.3,71.2,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:11,81.3,81.3,72.1,70.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:11,81.3,81.3,72.1,71.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:12,81.3,81.3,72.1,71.2,78.5,73.9,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:12,81.3,81.3,72.1,71.2,78.5,74.8,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:13,82.2,82.2,73.0,71.2,79.5,74.8,77.6,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:13,82.2,82.2,73.0,71.2,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:14,82.2,82.2,73.0,71.2,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:14,82.2,82.2,73.0,72.1,79.5,74.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:15,82.2,82.2,73.0,72.1,79.5,75.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:15,83.2,83.2,73.0,72.1,80.4,75.8,78.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:16,83.2,83.2,73.0,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:16,83.2,83.2,73.9,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:17,83.2,83.2,73.9,72.1,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:17,83.2,83.2,73.9,73.0,80.4,75.8,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:18,83.2,84.1,73.9,73.0,81.3,76.7,79.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:18,83.2,84.1,74.8,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:19,84.1,84.1,73.9,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:19,84.1,84.1,74.8,73.9,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:20,84.1,84.1,74.8,73.0,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:20,84.1,85.0,74.8,73.9,81.3,77.6,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:21,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2008.0,1608.0,2208.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:21,84.1,84.1,74.8,73.9,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:22,84.1,84.1,75.8,73.9,81.3,76.7,80.4,1944.0,1416.0,2208.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:22,84.1,85.0,74.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:23,84.1,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:23,85.0,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:24,85.0,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:24,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:25,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:25,84.1,85.0,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:26,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:26,84.1,85.0,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:27,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:27,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:28,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:28,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:29,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:29,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:30,85.0,85.0,75.8,74.8,81.3,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:30,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:31,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:31,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:32,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:32,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:33,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:33,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:34,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:34,85.0,85.0,76.7,75.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:35,85.0,85.0,76.7,75.8,82.2,77.6,80.4,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:36,85.9,85.9,76.7,75.8,83.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:36,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:37,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2056.0,1608.0,2352.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:37,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:38,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:38,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:39,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2056.0,1608.0,2352.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:39,85.9,85.9,77.6,75.8,83.2,79.5,82.2,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:40,85.9,85.9,77.6,76.7,83.2,78.5,82.2,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:40,85.9,85.9,76.7,75.8,83.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:41,85.0,85.9,77.6,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:41,85.9,85.9,77.6,75.8,83.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:42,85.9,85.9,77.6,76.7,83.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:42,85.0,85.9,77.6,76.7,82.2,78.5,82.2,1960.0,1416.0,2208.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
